Year,venue,team1,team2,toss_winner,toss_decision,head to head ratio team1 ,head to head ratio team2,1st iining win,2 nd inning win,winner,,,HISTORICAL TOSS DECISION WIN,
2022,"Wankhede Stadium, Mumbai",Gujarat,Lucknow,Gujarat,Field,,,,,Gujarat,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Hyderabad,Rajasthan,Hyderabad,Field,,,,,Rajasthan,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Banglore,Kolkata,Banglore,Field,,,,,Banglore,,,,
2022,"Brabourne Stadium, Mumbai",Chennai,Lucknow,Lucknow,Field,,,,,Lucknow,,,,
2022,"Wankhede Stadium, Mumbai",Kolkata,Punjab,Kolkata,Field,,,,,Kolkata,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Rajasthan,Mumbai,Field,,,,,Rajasthan,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Delhi,Gujarat,Delhi,Field,,,,,Gujarat,,,,
2022,"Brabourne Stadium, Mumbai",Chennai,Punjab,Chennai,Field,,,,,Punjab,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Hyderabad,Lucknow,Hyderabad,Field,,,,,Lucknow,,,,
2022,"Wankhede Stadium, Mumbai",Banglore,Rajasthan,Banglore,Field,,,,,Banglore,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Kolkata,Mumbai,Kolkata,Field,,,,,Kolkata,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Delhi,Lucknow,Lucknow,Field,,,,,Lucknow,,,,
2022,"Brabourne Stadium, Mumbai",Gujarat,Punjab,Gujarat,Field,,,,,Gujarat,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Chennai,Hyderabad,Hyderabad,Field,,,,,Hyderabad,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Banglore,Mumbai,Banglore,Field,,,,,Banglore,,,,
2022,"Brabourne Stadium, Mumbai",Delhi,Kolkata,Kolkata,Field,,,,,Delhi,,,,
2022,"Wankhede Stadium, Mumbai",Lucknow,Rajasthan,Lucknow,Field,,,,,Rajasthan,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Gujarat,Hyderabad,Hyderabad,Field,,,,,Hyderabad,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Banglore,Chennai,Banglore,Field,,,,,Chennai,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Mumbai,Punjab,Mumbai,Field,,,,,Punjab,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Gujarat,Rajasthan,Rajasthan,Field,,,,,Gujarat,,,,
2022,"Brabourne Stadium, Mumbai",Hyderabad,Kolkata,Hyderabad,Field,,,,,Hyderabad,,,,
2022,"Brabourne Stadium, Mumbai",Lucknow,Mumbai,Mumbai,Field,,,,,Lucknow,,,,
2022,"Wankhede Stadium, Mumbai",Banglore,Delhi,Delhi,Field,,,,,Banglore,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Hyderabad,Punjab,Hyderabad,Field,,,,,Hyderabad,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Chennai,Gujarat,Gujarat,Field,,,,,Gujarat,,,,
2022,"Brabourne Stadium, Mumbai",Kolkata,Rajasthan,Kolkata,Field,,,,,Rajasthan,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Banglore,Lucknow,Lucknow,Field,,,,,Banglore,,,,
2022,"Brabourne Stadium, Mumbai",Delhi,Punjab,Delhi,Field,,,,,Delhi,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Chennai,Mumbai,Chennai,Field,,,,,Chennai,,,,
2022,"Wankhede Stadium, Mumbai",Delhi,Rajasthan,Delhi,Field,,,,,Rajasthan,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Gujarat,Kolkata,Gujarat,Bat,,,,,Gujarat,,,,
2022,"Brabourne Stadium, Mumbai",Banglore,Hyderabad,Hyderabad,Field,,,,,Hyderabad,,,,
2022,"Wankhede Stadium, Mumbai",Lucknow,Mumbai,Mumbai,Field,,,,,Lucknow,,,,
2022,"Wankhede Stadium, Mumbai",Chennai,Punjab,Chennai,Field,,,,,Punjab,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Banglore,Rajasthan,Banglore,Field,,,,,Rajasthan,,,,
2022,"Wankhede Stadium, Mumbai",Gujarat,Hyderabad,Gujarat,Field,,,,,Gujarat,,,,
2022,"Wankhede Stadium, Mumbai",Delhi,Kolkata,Delhi,Field,,,,,Delhi,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Lucknow,Punjab,Punjab,Field,,,,,Lucknow,,,,
2022,"Brabourne Stadium, Mumbai",Banglore,Gujarat,Banglore,Bat,,,,,Gujarat,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Rajasthan,Mumbai,Field,,,,,Mumbai,,,,
2022,"Wankhede Stadium, Mumbai",Delhi,Lucknow,Lucknow,Bat,,,,,Lucknow,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Chennai,Hyderabad,Hyderabad,Field,,,,,Chennai,,,,
2022,"Wankhede Stadium, Mumbai",Kolkata,Rajasthan,Kolkata,Field,,,,,Kolkata,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Gujarat,Punjab,Gujarat,Bat,,,,,Punjab,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Banglore,Chennai,Chennai,Field,,,,,Banglore,,,,
2022,"Brabourne Stadium, Mumbai",Delhi,Hyderabad,Hyderabad,Field,,,,,Delhi,,,,
2022,"Brabourne Stadium, Mumbai",Gujarat,Mumbai,Gujarat,Field,,,,,Mumbai,,,,
2022,"Wankhede Stadium, Mumbai",Punjab,Rajasthan,Punjab,Bat,,,,,Rajasthan,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Kolkata,Lucknow,Kolkata,Field,,,,,Lucknow,,,,
2022,"Wankhede Stadium, Mumbai",Banglore,Hyderabad,Banglore,Bat,,,,,Banglore,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Chennai,Delhi,Delhi,Field,,,,,Chennai,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Kolkata,Mumbai,Mumbai,Field,,,,,Kolkata,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Lucknow,Gujarat,Gujarat,Bat,,,,,Gujarat,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Delhi,Rajasthan,Delhi,Field,,,,,Delhi,,,,
2022,"Wankhede Stadium, Mumbai",Chennai,Mumbai,Mumbai,Field,,,,,Mumbai,,,,
2022,"Brabourne Stadium, Mumbai",Banglore,Punjab,Banglore,Field,,,,,Punjab,,,,
2022,"Maharashtra Cricket Association Stadium, Pune",Hyderabad,Kolkata,Kolkata,Bat,,,,,Kolkata,,,,
2022,"Wankhede Stadium, Mumbai",Chennai,Gujarat,Chennai,Bat,,,,,Gujarat,,,,
2022,"Brabourne Stadium, Mumbai",Lucknow,Rajasthan,Rajasthan,Bat,,,,,Rajasthan,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Delhi,Punjab,Punjab,Field,,,,,Delhi,,,,
2022,"Wankhede Stadium, Mumbai",Hyderabad,Mumbai,Mumbai,Field,,,,,Hyderabad,,,,
2022,"Dr DY Patil Sports Academy, Mumbai",Kolkata,Lucknow,Lucknow,Bat,,,,,Lucknow,,,,
2022,"Wankhede Stadium, Mumbai",Banglore,Gujarat,Gujarat,Bat,,,,,Banglore,,,,
2022,"Brabourne Stadium, Mumbai",Chennai,Rajasthan,Chennai,Bat,,,,,Rajasthan,,,,
2022,"Wankhede Stadium, Mumbai",Delhi,Mumbai,Mumbai,Field,,,,,Mumbai,,,,
2022,"Wankhede Stadium, Mumbai",Hyderabad,Punjab,Hyderabad,Bat,,,,,Punjab,,,,
2022,"Eden Gardens, Kolkata ",Gujarat,Rajasthan,Gujarat,Field,,,,,Gujarat,,,,
2022,"Eden Gardens, Kolkata ",Banglore,Lucknow,Lucknow,Field,,,,,Banglore,,,,
2022,"Narendra Modi Stadium, Ahmedabad",Banglore,Rajasthan,Rajasthan,Field,,,,,Rajasthan,,,,
2022,"Narendra Modi Stadium, Ahmedabad",Gujarat,Rajasthan,Rajasthan,Bat,,,,,Gujarat,,,,
2023,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,,,,,Gujarat Titans,,,,
2023,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Punjab Kings,,,,
2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,,,,,Lucknow Super Giants,,,,
2023,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,,,,Rajasthan Royals,,,,
2023,M Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Royal Challengers Bangalore,,,,
2023,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,,,,,Chennai Super Kings,,,,
2023,Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,,,,,Gujarat Titans,,,,
2023,Barsapara Cricket Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,,,,,Punjab Kings,,,,
2023,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Kolkata Knight Riders,,,,
2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,,,,,Lucknow Super Giants,,,,
2023,Barsapara Cricket Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,,,,,Rajasthan Royals,,,,
2023,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2023,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,,,,,Kolkata Knight Riders,,,,
2023,"Rajiv Gandhi International Stadium, Hyderabad",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,,,,Sunrisers Hyderabad,,,,
2023,M Chinnaswamy Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,,,,,Lucknow Super Giants,,,,
2023,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2023,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,,,,,Rajasthan Royals,,,,
2023,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Gujarat Titans,Gujarat Titans,field,,,,,Gujarat Titans,,,,
2023,"Eden Gardens, Kolkata ",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Sunrisers Hyderabad,,,,
2023,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,,,,,Royal Challengers Bangalore,,,,
2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,,,,,Punjab Kings,,,,
2023,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2023,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,,,,,Rajasthan Royals,,,,
2023,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Chennai Super Kings,,,,
2023,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,,,,Mumbai Indians,,,,
2023,Sawai Mansingh Stadium,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,,,,,Lucknow Super Giants,,,,
2023,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,,,,,Royal Challengers Bangalore,,,,
2023,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,,,,,Delhi Capitals,,,,
2023,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,,,,,Gujarat Titans,,,,
2023,"Wankhede Stadium, Mumbai",Punjab Kings,Mumbai Indians,Mumbai Indians,field,,,,,Punjab Kings,,,,
2023,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,,,,,Royal Challengers Bangalore,,,,
2023,"Eden Gardens, Kolkata ",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Chennai Super Kings,,,,
2023,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,,,,,Delhi Capitals,,,,
2023,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,,,,,Gujarat Titans,,,,
2023,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Kolkata Knight Riders,,,,
2023,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,,,,,Rajasthan Royals,,,,
2023,"Punjab Cricket Association Stadium, Mohali",Lucknow Super Giants,Punjab Kings,Punjab Kings,field,,,,,Lucknow Super Giants,,,,
2023,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,,,,,Gujarat Titans,,,,
2023,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,,,,,Sunrisers Hyderabad,,,,
2023,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,,,,,Punjab Kings,,,,
2023,"Wankhede Stadium, Mumbai",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,,,,,Mumbai Indians,,,,
2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,,,,,Royal Challengers Bangalore,,,,
2023,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,,,,,Delhi Capitals,,,,
2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,,,,,No Result,,,,
2023,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2023,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,,,,,Kolkata Knight Riders,,,,
2023,Sawai Mansingh Stadium,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,,,,,Gujarat Titans,,,,
2023,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2023,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,,,,,Delhi Capitals,,,,
2023,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,,,,,Gujarat Titans,,,,
2023,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,,,,,Sunrisers Hyderabad,,,,
2023,"Eden Gardens, Kolkata ",Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,,,,,Kolkata Knight Riders,,,,
2023,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2023,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,,,,,Chennai Super Kings,,,,
2023,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,,,,,Rajasthan Royals,,,,
2023,"Wankhede Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Gujarat Titans,field,,,,,Mumbai Indians,,,,
2023,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,,,,,Lucknow Super Giants,,,,
2023,Arun Jaitley Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,field,,,,,Punjab Kings,,,,
2023,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,,,,,Royal Challengers Bangalore,,,,
2023,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,,,,,Kolkata Knight Riders,,,,
2023,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,,,,Gujarat Titans,,,,
2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,,,,,Lucknow Super Giants,,,,
2023,Himachal Pradesh Cricket Association Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,field,,,,,Delhi Capitals,,,,
2023,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Royal Challengers Bangalore,,,,
2023,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,,,,,Rajasthan Royals,,,,
2023,Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,,,,,Chennai Super Kings,,,,
2023,"Eden Gardens, Kolkata ",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Lucknow Super Giants,,,,
2023,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2023,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,,,,,Gujarat Titans,,,,
2023,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,,,,,Chennai Super Kings,,,,
2023,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,,,,,Mumbai Indians,,,,
2023,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,,,,,Gujarat Titans,,,,
2023,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
