Year,venue,team1,team2,toss_winner,toss_decision,head to head ratio team1 ,head to head ratio team2,1st iining win,2 nd inning win,winner,,,HISTORICAL TOSS DECISION WIN,
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,,,,,Kings XI Punjab,,,,
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,field,,,,,Rising Pune Supergiant,,,,
2017,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,,,,,Mumbai Indians,,,,
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2017,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,,,,,Gujarat Lions,,,,
2017,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,,,,,Sunrisers Hyderabad,,,,
2017,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kings XI Punjab,,,,
2017,Green Park,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,,,,,Delhi Daredevils,,,,
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,,,,,Kings XI Punjab,,,,
2017,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,,,,,Delhi Daredevils,,,,
2017,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,,,,Sunrisers Hyderabad,,,,
2017,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,,,,,Mumbai Indians,,,,
2017,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,field,,,,,Rising Pune Supergiant,,,,
2017,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,,,,,Royal Challengers Bangalore,,,,
2017,"Wankhede Stadium, Mumbai",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,,,,,Rising Pune Supergiant,,,,
2017,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2017,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2017,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,,,,,Mumbai Indians,,,,
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2018,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,,,,,Kings XI Punjab,,,,
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,,,,,Sunrisers Hyderabad,,,,
2018,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2018,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,,,,,Rajasthan Royals,,,,
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,,,,,Sunrisers Hyderabad,,,,
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,,,,,Royal Challengers Bangalore,,,,
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,,,,,Delhi Daredevils,,,,
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,,,,Sunrisers Hyderabad,,,,
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,,,,,Rajasthan Royals,,,,
2018,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,,,,,Kings XI Punjab,,,,
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,,,,,Kolkata Knight Riders,,,,
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,,,,,Mumbai Indians,,,,
2018,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2018,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,,,,,Kings XI Punjab,,,,
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,,,,,Chennai Super Kings,,,,
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,,,,,Kings XI Punjab,,,,
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,,,,,Royal Challengers Bangalore,,,,
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,,,,,Chennai Super Kings,,,,
2018,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,,,,,Rajasthan Royals,,,,
2018,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,,,,,Kings XI Punjab,,,,
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,,,,,Sunrisers Hyderabad,,,,
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,,,,,Sunrisers Hyderabad,,,,
2018,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Delhi Daredevils,,,,
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2018,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,,,,,Sunrisers Hyderabad,,,,
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,,,,,Chennai Super Kings,,,,
2018,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,,,,,Royal Challengers Bangalore,,,,
2018,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,,,,,Delhi Daredevils,,,,
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,,,,,Kolkata Knight Riders,,,,
2018,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,,,,,Mumbai Indians,,,,
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,,,,,Chennai Super Kings,,,,
