Year,venue,team1,team2,toss_winner,toss_decision,1st innings win ratio,2nd innings win ratio,head to head ratio team1,head to head ratio team2,winner
2018,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Field,0.6053,0.3947,0.6333,0.3667,Chennai Super Kings
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field,0.3571,0.6429,0.5357,0.4643,Rajasthan Royals
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Field,0.4444,0.5556,0.454545455,0.545454545,Sunrisers Hyderabad
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,Field,0.4167,0.5833,0.46875,0.53125,Royal Challengers Bangalore
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,Field,0.4231,0.5769,0.5588,0.4412,Delhi Capitals
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,0.4111,0.5889,0.653846154,0.346153846,Sunrisers Hyderabad
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Field,0.4167,0.5833,0.5357,0.4643,Rajasthan Royals
2018,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,Field,0.45,0.55,0.4642,0.5358,Punjab Kings
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,0.4111,0.5889,0.54545,0.45455,Kolkata Knight Riders
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,0.4231,0.5769,0.575757576,0.424242424,Mumbai Indians
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.3571,0.6429,0.5,0.5,Kolkata Knight Riders
2018,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Bat,0.45,0.55,0.31819,0.68181,Punjab Kings
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,0.549,0.451,0.5357,0.4643,Chennai Super Kings
2018,"Eden Gardens, Kolkata ",Kolkata Knight Riders,Punjab Kings,Punjab Kings,Field,0.4111,0.5889,0.65625,0.34375,Punjab Kings
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Field,0.4167,0.5833,0.6,0.4,Royal Challengers Bangalore
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Field,0.4444,0.5556,0.3,0.7,Chennai Super Kings
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Mumbai Indians,Mumbai Indians,Bat,0.3571,0.6429,0.4642,0.5358,Rajasthan Royals
2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Delhi Capitals,Field,0.4405,0.5595,0.48484,0.51516,Punjab Kings
2018,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Field,0.4231,0.5769,0.545454545,0.454545455,Sunrisers Hyderabad
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,0.4167,0.5833,0.3226,0.6774,Chennai Super Kings
2018,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Field,0.4444,0.5556,0.68181,0.31819,Sunrisers Hyderabad
2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.4405,0.5595,0.45455,0.54545,Delhi Capitals
2018,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,0.549,0.451,0.4595,0.5405,Mumbai Indians
2018,"Sawai Mansingh Stadium, Rajasthan",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,0.3571,0.6429,0.5,0.5,Sunrisers Hyderabad
2018,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,0.4167,0.5833,0.4243,0.5757,Kolkata Knight Riders
